title,description,Pattern Type,Difficulty,Sizes Included,Yarn Weight,Yarn Line,Yardage,Fiber Type,Needle / Hook Sizes,image_url,local_path,pattern_link
Wavy Chevron Dishclothby Jenny Konopinski,"Save when you buy a project bundle! Striped or solid, the crocheted chevron is a classic pattern that works up quickly and is easy to memorize - the perfect recipe for a satisfying dishcloth. The chevron pattern also builds on the beginning crocheter's skill set with double crochets, increases, and decreases. With 3 skeins of Dishie, this pattern will make two dish towels (10"" wide x 15"" long) and two Dishcloths (8.5"" square).  Mix and match your favorite colors to create a custom set for your kitchen!",Crochet,Beginner,"Bright Colorway, Cabin Colorway, Candy Colorway",Worsted,,570,Cotton,Size G (4.0mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/55545220.jpg~w=1000,h=1000,v=1",../data/images\Wavy_Chevron_Dishclothby_Jenny_Konopinski.jpg,https://www.crochet.com/wavy-chevron-dishcloth/p/55545
Filet Crochet Market Bagby Sara Dudek,"Make a stunning market bag for trips to the farmers' market, outings to the beach, or to carry a few project bags worth of crochet goodies. You'll want to take this customizable bag everywhere! Practice the filet crochet technique with this mesh bag. Create patterns in the shape of a heart, a flower, a chevron pattern, or create a chart all your own. You will be a filet crochet expert by the time you finish this fast and fun market bag. Grab a project bundle and save!",Crochet,Intermediate,"27"" circumference, 15"" long",DK,,436,Cotton,Size G (4.0mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58066220.jpg~w=1000,h=1000,v=1",../data/images\Filet_Crochet_Market_Bagby_Sara_Dudek.jpg,https://www.crochet.com/filet-crochet-market-bag/p/58066
Good Earth Blanketby Pattern Hut,"Get cozy in color with a striped crochet blanket! Made in the popular Larksfoot pattern, the fully reversible fabric works up quickly in double crochet. To customize the blanket, the pattern is offered in three sizes: lapghan, throw, and afghan. Blanket is worked flat from the bottom up. Grab a project bundle and save on the yarn!",Crochet,Easy,"35.75 x 48"" - spring picnic, 48.25 x 60"" - spring picnic, 54 x 72"" - spring picnic, 35.75 x 48"" - winter holiday, 48.25 x 60"" - winter holiday, 54 x 72"" - winter holiday",Worsted,,1744-2616,Acrylic,US 7 (4.5mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n9046.jpg~w=1000,h=1000,v=1",../data/images\Good_Earth_Blanketby_Pattern_Hut.jpg,https://www.crochet.com/good-earth-blanket/p/N9046
Aberdeen Pulloverby Moon Elderidge,"Bold and modern the geometric mosaic pattern on this pullover was inspired by Northern European style Fair Isle knitting patterns. Featuring simple shaping and easy double crochet stitches and incorporating clever post stitches to create the mosaic design, this sweater is a great skill-building project. The body is worked in turned rounds from the bottom up. The sleeves are worked separately and seamed in place. The mosaic pattern is both written and charted.",Crochet,Intermediate,"38.5"" finished chest, 42.75"" finished chest, 47"" finished chest, 51.25"" finished chest, 55.5"" finished chest, 59.75"" finished chest, 64"" finished chest, 68.25"" finished chest, 72.5"" finished chest",Worsted,,2616-3924,Acrylic,H/5.0mm & I/5.5mm crochet hooks,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/56291220.jpg~w=1000,h=1000,v=1",../data/images\Aberdeen_Pulloverby_Moon_Elderidge.jpg,https://www.crochet.com/aberdeen-pullover/p/56291
Adventure Time Blanketby Amy Polcyn Niezur,"Playful vehicles set off for adventure on this easy intarsia baby blanket. Simple motifs worked in single crochet are easy enough for a beginner, and the squares are worked individually to make it a great take-along project.",Crochet,Intermediate,"24"" Wide x 36"" Long",Fingering,,1308,Cotton,US D/3 (3.25mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/56370220.jpg~w=1000,h=1000,v=1",../data/images\Adventure_Time_Blanketby_Amy_Polcyn_Niezur.jpg,https://www.crochet.com/adventure-time-blanket/p/56370
African Violet Afghanby Kristen Clay,"A lightly textured 6-petal flower makes the center of each motif, which is then framed in a pretty border. The motifs join to create a lacy floral accent with just the right amount of interest and simplicity. Basic stitches combine with a few more unusual ones, making these two-color motifs work up quickly. They join as you go just follow the simple chart to know which join to and one round of pretty edging finishes it easily.",Crochet,Intermediate,"61"" x 64""",Worsted,,2750,Wool,Size G (4.25mm) hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58039220.jpg~w=1000,h=1000,v=1",../data/images\African_Violet_Afghanby_Kristen_Clay.jpg,https://www.crochet.com/african-violet-afghan/p/58039
Alice Bunnyby Handmade with Chrissy,"Stitch up this adorable bunny for a quick gift or cuddly friend! Worked primarily in continuous rounds of single crochet with bulky weight yarn or two strands of worsted weight yarn held together, this little one is a quick stitch with just the right amount of size and snuggle. Complete that irresistible face with plastic safety eyes as shown or embroider the eyes to make this a perfect gift for a new baby.",Crochet,Easy,"7"" High x 7"" Wide x 6"" Deep - Bulky weight, 7"" High x 7"" Wide x 6"" Deep - Worsted Weight","Bulky, Worsted",,522-785,Wool,L/11 (8mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/56337220.jpg~w=1000,h=1000,v=1",../data/images\Alice_Bunnyby_Handmade_with_Chrissy.jpg,https://www.crochet.com/alice-bunny/p/56337
All About Shapes Baby Bath Setby Kristen Clay,"A baby gift that is practical as well as cute, this bath set whips up in a jiffy using soft and absorbent cotton yarn. It’s made of primary shapes; adapt the colors to suit the receiver! Only a few of the most basic stitches make up this set, so it’s beginner friendly. The textured border is worked at the same time as the rest of the towel. Appliques are optional - or add your own.",Crochet,Easy,"Towel: 30"" square; Washcloth: 8” diameter",Worsted,,950,,US G/7 (4.5 mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n9054.jpg~w=1000,h=1000,v=1",../data/images\All_About_Shapes_Baby_Bath_Setby_Kristen_Clay.jpg,https://www.crochet.com/all-about-shapes-baby-bath-set/p/N9054
Allegro Apron Topby Kate Miller,"This lacy box top with a bateau neckline and ties at the sides gives just-so coverage for sunny days, and reveals cool confidence for hot summer nights. This apron top is constructed with rectangular panels of drapey Tunisian lace, joined down the center back and front, and at the shoulders.",Crochet,Intermediate,"27"" finished chest measurement, 30"" finished chest measurement, 33"" finished chest measurement, 36"" finished chest measurement, 39"" finished chest measurement, 42"" finished chest measurement, 45"" finished chest measurement, 48"" finished chest measurement, 51"" finished chest measurement, 54"" finished chest measurement, 57""  finished chest measurement",Fingering,,436-1526,Cotton,"G/4.0mm crochet hook, G/4.0mm Tunisian crochet hook","https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58227220.jpg~w=1000,h=1000,v=1",../data/images\Allegro_Apron_Topby_Kate_Miller.jpg,https://www.crochet.com/allegro-apron-top/p/58227
Alpine Stitch Dishclothby Regan Nishikawa,"The Alpine Stitch creates a nubby, textured dishcloth that is great for adding extra scrubbing power. Alpine stitch is made of a simple repeat that you will memorize quickly, which means it's a great project to work on while you're watching movies or your mind is otherwise occupied.",Crochet,Intermediate,"9"" square",Worsted,,190,Cotton,Size I/9 (5.5mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58322220.jpg~w=1000,h=1000,v=1",../data/images\Alpine_Stitch_Dishclothby_Regan_Nishikawa.jpg,https://www.crochet.com/alpine-stitch-dishcloth/p/58322
