title,description,skill_level,Crochet Hook,Yarn Weight,Finished Size,img_url,local_path,pattern_link,Crochet Gauge,Notes
Quick n' Cozy Crochet Afghan,"The Quick n' Cozy Crochet Afghan is the ultimate crochet pattern for beginners. This crochet afghan is so easy, quick and fun to work up. You don't need much experience to make this crochet pattern, and you can crochet it up in a jiffy! Those who are first attempting a beginner crochet project may be hesitant, but this crochet blanket pattern really is incredibly simple.",Beginner,P/16 or 11.5 mm hook,(6) Super Bulky/Super Chunky (4-11 stitches for 4 inches),"44 x 55""",https://irepo.primecp.com/2015/06/225420/Quick-n-Cozy-Crochet-Afghan_ExtraLarge700_ID-1054919.jpg?v=1054919,Quick_n_Cozy_Crochet_Afghan.jpg,https://www.allfreecrochet.com/Crochet-Afghan-Patterns/Quick-n-Cozy-Crochet-Afghan,,
World's Easiest Afghan,"If you've been searching for easy afghan patterns, then the crochet blanket pattern you've all been waiting for is finally here! The World's Easiest Afghan is one that anyone can make and use.The texture of the finished afghan makes it look fancy, well-done, and unique even though it only uses single and double crochet.No one even has to know that you were learninghow to crochet a blanketwhile you were working it up, or that it didn't take you very much time at all. This blanket can easily be worked up in multiple sizes and shades.Using bulky yarn, a larger hook, and simple stitches, you can create this blanket in a matter of hours. Print the free pattern below or watch the video.Use the dark, emerald green that's pictured for a warm accent in your living room, or make a bright pop of color to put in your kid's bedroom. Use this video tutorial to show you just how easy it is for you to make this crochet afghan pattern, and use it to decorate your house!Subscribe to our newsletter for amazing crochet patterns delivered to your inbox daily!PLUS!Check out our video tutorial below to help you master this blanket.",Beginner,H/8 or 5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),Measurement: 48 x 60”,https://irepo.primecp.com/2014/12/204013/Worlds-Easiest-Afghan_Large500_ID-823909.jpg?v=823909,Worlds_Easiest_Afghan.jpg,https://www.allfreecrochet.com/Crochet-Afghan-Patterns/Worlds-Easiest-Afghan-Caron-Yarns,"13 sc and 14 rows = 4"" (10cm)",
Ribbed Fingerless Gloves,"""These crochet ribbed fingerless gloves are made with medium-weight yarn and a 4.5 mm hook. The ribbed texture creates a stretchy, comfortable fit that keeps hands warm while leaving fingers free. The gloves are worked flat and then seamed, making the construction simple and beginner-friendly. The seam is nearly invisible, giving the gloves a clean and polished look. This practical and stylish accessory is perfect for everyday wear during chilly autumn and winter days. Happy Crocheting!""",Beginner,4.5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2026/03/609601/1772820892_33706_Large600_ID-5968064.jpg?v=5968064,Ribbed_Fingerless_Gloves.jpg,https://www.allfreecrochet.com/Gloves-and-Mittens/Ribbed-Fingerless-Gloves-192742,,
Chunky Adult Slippers,"Learn how to crochet an adorable pair of Chunky Adult Slippers with this easy to follow tutorial. Single crochet is worked to the finishing touch. Add a button, a flower or even a pom pom to add a fun embellishment to your cute new slipper.",Beginner,M/13 or 9 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2020/11/471382/Chunky-Adult-Slippers-new_UserCommentImage_ID-4021468.jpg?v=4021468,Chunky_Adult_Slippers.jpg,https://www.allfreecrochet.com/Socks-and-Slippers/Chunky-Adult-Slippers,Gauge 2 sc = 1 inch,
Quick Little Bag,"""This Quick Little Bag is just that, and it came about due to a lack of pockets! I was at a trade show and realized most of my outfits for the long weekend had no pockets. I had a big shoulder bag, but my phone and business cards kept getting lost in it. So I grabbed some Red Heart Unforgettable and a crochet hook and whipped up this bag. Problem solved! I made a new sample for the pattern that is a little thinner, longer, and has a flap. Enjoy.""",Beginner,I/9 or 5.5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),5 inch square,https://irepo.primecp.com/2015/09/238794/Quick-Little-Bag_Large600_ID-1216790.jpg?v=1216790,Quick_Little_Bag.jpg,https://www.allfreecrochet.com/Crochet-Bag-Patterns/Quick-Little-Bag,,
Berry Delight Free Crochet Beanie Pattern,"The Berry Delight Beanie is a crochet hat pattern that is worked up with bulky yarn, so it's fast to make. This crochet beanie features an easy stitch pattern that is fun to crochet and lends a nice texture to the finished fabric. Stay cozy this winter with this easy pattern and crochet one for every member of your family. This pattern is written to include sizes preemie through large adult, so no one will be left out. The hat is worked from the brim up to the top of the hat, and then the ribbing is worked separately and then seamed at the end.",Beginner,J/10 or 6 mm hook,(5) Bulky/Chunky (12-15 stitches for 4 inches),Newborn to Large Adult,https://irepo.primecp.com/2016/03/273884/Berry-Delight-Beanie_Large600_ID-1574670.jpg?v=1574670,Berry_Delight_Free_Crochet_Beanie_Pattern.jpg,https://www.allfreecrochet.com/Hats/Berry-Delight-Beanie,"Gauge in HDC: 11 stitches and 9 rows = 4"" (10 cm)",-Hat is worked from the brim up; the brim (ribbing) is worked in rows and seamed together at the end -Starting chain does not count as a stitch unless directed otherwise -Each round is started in the same stitch as your starting chain -The end of each round is joined by slip stitching in the first stitch of the round unless directed otherwise
Glamorous Pearl Center Flowers,"This pattern is so short and sweet, you will definitely do a double-take. The Glamorous Pearl Center Flowers are inspired by hydrangeas and the rich purple colors of their interlocking petals that can form lovely round bouquets. These simple crochet flowers get their extra pop from adding a pearl center to the four-petal design. These centers could be adjusted to a smaller, purple bead to look more like hydrangeas, or you can keep the large white pearl to really make a glamorous statement. Whatever route you choose, the crochet flower pattern will be a delightfully easy project for anyone craving their floral fix.",Beginner,G/6 or 4 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2016/07/289899/Glamorous-Pearl-Centered-Flowers_Large600_ID-1760125.jpg?v=1760125,Glamorous_Pearl_Center_Flowers.jpg,https://www.allfreecrochet.com/Crochet-Flower-Patterns/Glamorous-Pearl-Center-Crochet-Flowers-Pattern,,
Thick and Bumpy Potholder,"""This Thick and Bumpy Potholder is bumpy with puff stitches on one side, and ribbed on the other. It is super thick and has a really nice texture. The best part - you only need 1 ball of yarn to make the whole thing!""",Beginner,H/8 or 5 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2015/08/232299/Thick-and-Bumpy-Potholder_Large500_ID-1138750.jpg?v=1138750,Thick_and_Bumpy_Potholder.jpg,https://www.allfreecrochet.com/Potholders-Oven-Mitts-and-Trivets/Thick-and-Bumpy-Potholder,,
Beginner Friendly Crochet Doily,"""Beginner friendly crochet doily, nice easy pattern for those of you who are just starting to learn to make crochet doilies. A lovely home decor piece with a lacy edge, this doily can also be used as mats for dining, occasional, coffee or side tables or you can use them as gifts for family and friends. Made in light worsted #3 (double knitting for UK users) cotton yarn with a 4.50mm crochet hook size. Hope you have fun making it.""",Beginner,4.5 mm hook,(3) Light/DK (21-24 stitches to 4 inches),approx 8.5 Inch Diameter,https://irepo.primecp.com/2023/01/545486/1672742302_281168_UserCommentImage_ID-5046383.jpg?v=5046383,Beginner_Friendly_Crochet_Doily.jpg,https://www.allfreecrochet.com/Doilies/Beginner-Friendly-Crochet-Doily-120413,6dc & 2.5 rows measures approx 1 inch,
Bob,"""It features rows of double crochet interspersed with rows of filet stitches which create ladders throughout the wrap. I hit a wall coming up with a name, so I asked a group of friends, and Drew Emborsky suggested Bob. I’m pretty sure he was joking, but it was the only suggestion I got, and it made me laugh, so I went with it! So grab your Wool and the Gang Tina Tape and get crocheting!""",Beginner,J/10 or 6 mm hook,(4) Medium Weight/Worsted Weight and Aran (16-20 stitches to 4 inches),,https://irepo.primecp.com/2017/07/339729/Bob_Large600_ID-2340346.jpg?v=2340346,Bob.jpg,https://www.allfreecrochet.com/Shawls/Bob,,
